id,event_type,subject,actor,outcome,ip_address,detail_message,details_json,created_at
af3e283f-35df-44e6-8457-2e05ba08ea58,license.created,d82be31e-b59a-490d-86e2-a3c0a630036a,pmc-lic-09,success,10.20.124.10,Created license application PMC-OCC-2026-000001,"{""ward_code"": ""PMC-AB"", ""city"": ""Pune"", ""license_type"": ""occupancy_certificate""}",2025-11-09T22:42:00+00:00
e4ee5d16-83c1-41fb-beb8-f48f025b287d,license.rejected,d82be31e-b59a-490d-86e2-a3c0a630036a,pmc-lic-09,success,10.20.70.43,Rejected license application PMC-OCC-2026-000001,"{""sla_days"": 21, ""decision_state"": ""rejected""}",2025-11-22T10:42:00+00:00
ba5b6c4d-e101-41ea-8b3d-471b9d43cf09,license.created,8029fb40-16fb-4438-9f3c-72ea8a947c82,bmc-lic-23,success,10.20.15.105,Created license application BMC-FIR-2026-000002,"{""ward_code"": ""MCGM-S"", ""city"": ""Mumbai"", ""license_type"": ""fire_referral""}",2026-02-21T18:02:00+00:00
e385ee4c-efaa-4a6f-abcc-d0e0029a4517,license.created,34804dcc-8c5a-4c91-bc8f-ae9164f7b940,bmc-lic-07,success,10.20.111.12,Created license application BMC-HLT-2026-000003,"{""ward_code"": ""MCGM-FN"", ""city"": ""Mumbai"", ""license_type"": ""health_noc""}",2026-01-01T22:48:00+00:00
fc1ff0b0-1862-4753-804c-a53cb2f6e515,license.approved,34804dcc-8c5a-4c91-bc8f-ae9164f7b940,bmc-lic-07,success,10.20.101.40,Approved license application BMC-HLT-2026-000003,"{""sla_days"": 12, ""decision_state"": ""approved""}",2026-01-11T05:48:00+00:00
b25f3210-88bb-4caa-8247-565161da6e4e,license.created,4924c3f9-89ef-4139-9477-5af2738e5948,pmc-lic-02,success,10.20.165.114,Created license application PMC-OCC-2026-000004,"{""ward_code"": ""PMC-BP"", ""city"": ""Pune"", ""license_type"": ""occupancy_certificate""}",2025-11-10T21:30:00+00:00
31996f11-fb17-4825-996d-ed5626561421,license.rejected,4924c3f9-89ef-4139-9477-5af2738e5948,pmc-lic-02,success,10.20.112.5,Rejected license application PMC-OCC-2026-000004,"{""sla_days"": 21, ""decision_state"": ""rejected""}",2025-11-19T03:30:00+00:00
0cc474a7-76f0-40af-a8e3-1a14946b0a67,license.created,dafabab4-63a7-4003-9e30-81879a13877f,bmc-lic-22,success,10.20.49.71,Created license application BMC-SBD-2026-000005,"{""ward_code"": ""MCGM-N"", ""city"": ""Mumbai"", ""license_type"": ""signboard_permission""}",2026-02-19T00:44:00+00:00
9d7ac694-9845-455f-9fd5-ae797b44750f,license.created,d11f2c82-66f3-4b46-8aee-2075a992fdd6,bmc-lic-07,success,10.20.87.236,Created license application BMC-HLT-2026-000006,"{""ward_code"": ""MCGM-FN"", ""city"": ""Mumbai"", ""license_type"": ""health_noc""}",2026-02-02T21:04:00+00:00
90dadf40-b003-445a-93bc-26ac28b0ad2c,license.created,e5c6b922-9fbf-4b0e-a2fa-a56bab041f4e,pmc-lic-12,success,10.20.4.150,Created license application PMC-BPA-2026-000007,"{""ward_code"": ""PMC-SG"", ""city"": ""Pune"", ""license_type"": ""building_plan_approval""}",2026-01-06T11:46:00+00:00
