ward_code,ward_name,city,district,state,postal_codes,center,weight,areas,zone,office_address
PMC-KVW,Kasba Vishrambagwada,Pune,Pune,Maharashtra,411011; 411002; 411030,"18.5195, 73.8553",0.075,Kasba Peth; Budhwar Peth; Vishrambag Wada; Narayan Peth; Shaniwar Peth,Central,
PMC-BP,Bhavani Peth,Pune,Pune,Maharashtra,411042; 411011,"18.5052, 73.8684",0.04166666666666667,Bhavani Peth; Ganj Peth; Mahatma Phule Peth,Central,
PMC-BBW,Bibwewadi,Pune,Pune,Maharashtra,411037; 411043,"18.4766, 73.8651",0.06666666666666667,Bibwewadi; Market Yard; Padmavati; Upper Indira Nagar,South,
PMC-TR,Tilak Road,Pune,Pune,Maharashtra,411030; 411009,"18.5082, 73.8518",0.05,Sadashiv Peth; Tilak Road; Perugate; Navi Peth,Central,
PMC-DS,Dhankawadi Sahakarnagar,Pune,Pune,Maharashtra,411043; 411009; 411046,"18.4587, 73.8552",0.05833333333333334,Dhankawadi; Sahakarnagar; Balajinagar; Katraj,South,
PMC-HM,Hadapsar Mundhwa,Pune,Pune,Maharashtra,411028; 411036,"18.4978, 73.9389",0.1,Hadapsar; Mundhwa; Magarpatta; Kharadi Annexe,East,
PMC-WR,Wanowrie Ramtekdi,Pune,Pune,Maharashtra,411040; 411013,"18.4945, 73.9017",0.05833333333333334,Wanowrie; Fatima Nagar; Ramtekdi; Ghorpadi,South-East,
PMC-KY,Kondhwa Yewalewadi,Pune,Pune,Maharashtra,411048; 411060,"18.4508, 73.8945",0.06666666666666667,Kondhwa; NIBM Road; Yewalewadi; Salunkhe Vihar,South,
PMC-AB,Aundh Baner,Pune,Pune,Maharashtra,411045; 411007; 411021,"18.5592, 73.807",0.08333333333333334,Aundh; Baner; Balewadi; Pashan Link,West,
PMC-WK,Warje Karvenagar,Pune,Pune,Maharashtra,411052; 411058,"18.4897, 73.8069",0.05,Warje; Karvenagar; Erandwane Annexe,West,
PMC-KB,Kothrud Bavdhan,Pune,Pune,Maharashtra,411038; 411021,"18.5074, 73.8077",0.075,Kothrud; Bavdhan; Paud Road; Mahatma Society,West,
PMC-SG,Shivajinagar Ghole Road,Pune,Pune,Maharashtra,411005; 411004,"18.5313, 73.8447",0.04166666666666667,Shivajinagar; Ghole Road; JM Road; Deccan Gymkhana,Central-West,
PMC-DP,Dhole Patil,Pune,Pune,Maharashtra,411001; 411014,"18.5335, 73.8796",0.04166666666666667,Dhole Patil Road; Koregaon Park; Boat Club Road; Bund Garden,East-Central,
PMC-NR,Nagar Road Vadgaon Sheri,Pune,Pune,Maharashtra,411014; 411006,"18.555, 73.9253",0.075,Vadgaon Sheri; Kalyani Nagar; Viman Nagar; Nagar Road,East,
PMC-YKD,Yerwada Kalas Dhanori,Pune,Pune,Maharashtra,411006; 411015; 411032,"18.5685, 73.903",0.05,Yerwada; Kalas; Dhanori; Phulenagar,North-East,
PMC-SR,Sinhagad Road,Pune,Pune,Maharashtra,411051; 411041,"18.4592, 73.8299",0.06666666666666667,Sinhagad Road; Narhe; Dhayari; Anand Nagar,South-West,
MCGM-A,A Ward,Mumbai,Mumbai,Maharashtra,400001,"18.9367, 72.8352",0.03139013452914798,Fort; Colaba; Cuffe Parade,Island City,"134 E, Shahid Bhagatsingh Marg, Near RBI, Mumbai 400001"
