id,event_type,subject,actor,outcome,ip_address,detail_message,details_json,created_at
28702e78-25c7-4d55-b30f-4376e158cee3,license.created,3b0d8f66-ad2b-4fbe-a319-984cdf15b6ae,pmc-lic-01,success,10.20.99.225,Created license application PMC-FIR-2026-000001,"{""ward_code"": ""PMC-KVW"", ""city"": ""Pune"", ""license_type"": ""fire_referral""}",2025-12-18T17:06:00+00:00
4f4f2fb4-3d17-4c2a-9f8c-199a36eecebd,license.created,8a370147-2719-46a0-9061-e48eb8c19c0e,bmc-lic-12,success,10.20.91.67,Created license application BMC-TRD-2026-000002,"{""ward_code"": ""MCGM-KE"", ""city"": ""Mumbai"", ""license_type"": ""trade_license""}",2026-02-07T09:07:00+00:00
d53eb6fb-c9ed-4489-8b1c-4c28110002ce,license.approved,8a370147-2719-46a0-9061-e48eb8c19c0e,bmc-lic-12,success,10.20.104.165,Approved license application BMC-TRD-2026-000002,"{""sla_days"": 10, ""decision_state"": ""approved""}",2026-02-17T16:07:00+00:00
50af1ffc-541d-43d5-bbd9-9e14713a0c6d,license.created,9b614e4d-b2e7-4a64-b310-d19bb67e2830,pmc-lic-12,success,10.20.31.177,Created license application PMC-TRD-2026-000003,"{""ward_code"": ""PMC-SG"", ""city"": ""Pune"", ""license_type"": ""trade_license""}",2026-03-11T11:55:00+00:00
ea365cb2-a0e5-44d7-ba8f-63616e4ad611,license.created,dcf4030a-8dbd-43b0-80dd-5adb276a8d58,bmc-lic-12,success,10.20.101.166,Created license application BMC-FIR-2026-000004,"{""ward_code"": ""MCGM-KE"", ""city"": ""Mumbai"", ""license_type"": ""fire_referral""}",2025-12-21T16:27:00+00:00
46968db4-6a9e-4171-a597-2c36bdeb0260,license.created,05b59cd0-c1b3-44b4-bac9-b0696b565385,pmc-lic-02,success,10.20.171.158,Created license application PMC-TRD-2026-000005,"{""ward_code"": ""PMC-BP"", ""city"": ""Pune"", ""license_type"": ""trade_license""}",2026-01-29T11:07:00+00:00
3516164d-695f-40a7-8127-9f4bcb3d27c5,license.approved,05b59cd0-c1b3-44b4-bac9-b0696b565385,pmc-lic-02,success,10.20.118.217,Approved license application PMC-TRD-2026-000005,"{""sla_days"": 10, ""decision_state"": ""approved""}",2026-02-12T09:07:00+00:00
6c1e1532-351b-4424-868a-55cbc05cce7e,license.created,3b9ac099-d8bc-4463-8356-4c1ac4440533,pmc-lic-11,success,10.20.68.140,Created license application PMC-EST-2026-000006,"{""ward_code"": ""PMC-KB"", ""city"": ""Pune"", ""license_type"": ""estate_permission""}",2025-11-28T23:40:00+00:00
669e8082-f42a-4247-b745-0bedb0b9e57c,license.created,e2ef1369-4fa8-492d-b7a4-0325c72fb74d,bmc-lic-09,success,10.20.133.137,Created license application BMC-STO-2026-000007,"{""ward_code"": ""MCGM-GN"", ""city"": ""Mumbai"", ""license_type"": ""storage_noc""}",2025-11-26T08:48:00+00:00
bad8fe0f-43cf-4814-8755-4286fb87a17a,license.approved,e2ef1369-4fa8-492d-b7a4-0325c72fb74d,bmc-lic-09,success,10.20.150.55,Approved license application BMC-STO-2026-000007,"{""sla_days"": 14, ""decision_state"": ""approved""}",2025-12-13T23:48:00+00:00
2a69f95b-9c86-4fe6-8891-a5f028fc9d43,license.created,a75d6db0-9080-482d-8626-138e38606043,pmc-lic-06,success,10.20.75.49,Created license application PMC-TRD-2026-000008,"{""ward_code"": ""PMC-HM"", ""city"": ""Pune"", ""license_type"": ""trade_license""}",2026-03-15T22:42:00+00:00
2197d436-2ab4-4ba6-acec-de0388fe3dd7,license.created,ad57a4ef-b571-48ad-9072-b1101f968b68,pmc-lic-06,success,10.20.95.82,Created license application PMC-FIR-2026-000009,"{""ward_code"": ""PMC-HM"", ""city"": ""Pune"", ""license_type"": ""fire_referral""}",2025-11-18T23:41:00+00:00
