payment_id,license_id,application_number,fee_amount_inr,payment_status,payment_channel,receipt_number
e2761c74-ee30-4928-89f5-cf5375e41bb9,d82be31e-b59a-490d-86e2-a3c0a630036a,PMC-OCC-2026-000001,79200,paid,bank_counter,RCPT-000001
172b0bee-cfa9-4e84-8c8b-51d8730550f0,8029fb40-16fb-4438-9f3c-72ea8a947c82,BMC-FIR-2026-000002,24000,pending,cash_counter,RCPT-000002
fb4f8819-28d2-4b10-933a-0c8d48d13bd6,34804dcc-8c5a-4c91-bc8f-ae9164f7b940,BMC-HLT-2026-000003,17000,paid,online_pg,RCPT-000003
a0050821-59b2-4d2e-ab29-2599d7f7bacc,4924c3f9-89ef-4139-9477-5af2738e5948,PMC-OCC-2026-000004,50600,paid,cash_counter,RCPT-000004
522b0267-347b-4411-8ed9-16b7c67b622f,dafabab4-63a7-4003-9e30-81879a13877f,BMC-SBD-2026-000005,15100,paid,online_pg,RCPT-000005
02c04b57-65d2-41ea-beab-dc604cc26326,d11f2c82-66f3-4b46-8aee-2075a992fdd6,BMC-HLT-2026-000006,13000,paid,online_pg,RCPT-000006
f24bafea-a7ee-4103-a355-36ae6aed43f5,e5c6b922-9fbf-4b0e-a2fa-a56bab041f4e,PMC-BPA-2026-000007,154900,pending,bank_counter,RCPT-000007
126049e9-3bde-4930-9875-4f6ed62d01df,4cb59cee-e242-4ffb-a38e-e02655b3d4f7,BMC-FIR-2026-000008,23100,paid,cash_counter,RCPT-000008
c6e2093b-05d6-49ff-a997-6989be766269,bf24fc9e-b71b-4ec5-bbcb-04a041924c95,BMC-FIR-2026-000009,24800,paid,online_pg,RCPT-000009
1887782a-81bc-42c0-9be9-edc2a2215786,4e384d89-6814-4fb6-95bf-f6b28678026c,PMC-OCC-2026-000010,94500,paid,online_pg,RCPT-000010
bf2d195e-dae3-40a1-8a18-ec30d1585141,822b66e5-75d7-460c-baa1-8aa22b36a2f9,PMC-TRD-2026-000011,5400,paid,online_pg,RCPT-000011
468fdfa5-52e5-42d2-bed4-511ba81a50b5,0e2fc87f-0d29-41f1-b0ec-88d08f8df534,BMC-BPA-2026-000012,203800,paid,online_pg,RCPT-000012
c633c355-1ed0-4979-9fab-8adfbf5841f3,8be9577f-540b-459b-a2fe-29c80348a90f,BMC-BPA-2026-000013,31600,paid,online_pg,RCPT-000013
cd1f5cdf-8c38-4ef5-8a62-047eb55912e5,bcf1cb2b-1820-4cbf-b3c3-04eddf9fa2d8,PMC-BPA-2026-000014,123900,paid,cash_counter,RCPT-000014
