document_id,aggregate_type,aggregate_id,property_id,license_id,filename,media_type,size_bytes,sha256,uploaded_by
a6d51a71-1a1c-4a2a-95a5-9aba111b326e,license,3b0d8f66-ad2b-4fbe-a319-984cdf15b6ae,8b0f5177-769e-4c41-a157-16dd755ad7c8,3b0d8f66-ad2b-4fbe-a319-984cdf15b6ae,pmc-fir-2026-000001_application_note_01.txt,text/plain,146,08d82bc567fc47763a861e3e1519c3e69db9838b4e90534791af2f5291cad0f6,pmc-lic-01
daf320bb-3d4d-4521-8e5c-a27aef77add3,license,3b0d8f66-ad2b-4fbe-a319-984cdf15b6ae,8b0f5177-769e-4c41-a157-16dd755ad7c8,3b0d8f66-ad2b-4fbe-a319-984cdf15b6ae,pmc-fir-2026-000001_ownership_note_02.txt,text/plain,144,53d9229f1f75624bb41b7918d7d79ae9e5a0186ca4fd7d1c8496111be475b56a,pmc-lic-01
cfb14d5f-c485-48a1-88ca-965f45deaa7a,license,3b0d8f66-ad2b-4fbe-a319-984cdf15b6ae,8b0f5177-769e-4c41-a157-16dd755ad7c8,3b0d8f66-ad2b-4fbe-a319-984cdf15b6ae,pmc-fir-2026-000001_site_photo_note_03.txt,text/plain,145,1d0d5a230d1cf0c369f81d031cdaf64c10516d668d2cd89383458907f7938c56,pmc-lic-01
a53426cb-342f-4b1b-8ebe-10036351b492,license,8a370147-2719-46a0-9061-e48eb8c19c0e,a2a8d7d1-c803-4559-a2db-93c5ded21e4e,8a370147-2719-46a0-9061-e48eb8c19c0e,bmc-trd-2026-000002_application_note_01.txt,text/plain,130,18ea49324aa508bc1e6994fe0b9f59c93d816206660c43f3162b36d11bd9a335,bmc-lic-12
c503dd54-0a91-4f7b-b398-b1c4446b870f,license,8a370147-2719-46a0-9061-e48eb8c19c0e,a2a8d7d1-c803-4559-a2db-93c5ded21e4e,8a370147-2719-46a0-9061-e48eb8c19c0e,bmc-trd-2026-000002_ownership_note_02.txt,text/plain,128,ae72af9187ec685811e7e0057482c4e046604c7a55422212a684c11cbb46fde3,bmc-lic-12
145e81a7-7f6d-4ddc-a0d3-3f800d0238d5,license,9b614e4d-b2e7-4a64-b310-d19bb67e2830,f5f393a2-6b45-4036-be9a-7b6b09984256,9b614e4d-b2e7-4a64-b310-d19bb67e2830,pmc-trd-2026-000003_application_note_01.txt,text/plain,143,5239fd01e778fb1518b86cbf25d47e571e6a577db35d750c93650c9f99def399,pmc-lic-12
9cafa049-1091-493e-ad0b-ce30b1b4965b,license,9b614e4d-b2e7-4a64-b310-d19bb67e2830,f5f393a2-6b45-4036-be9a-7b6b09984256,9b614e4d-b2e7-4a64-b310-d19bb67e2830,pmc-trd-2026-000003_ownership_note_02.txt,text/plain,141,8a0dc76a731b7ddeb8b0a802a93d47c0ba541e1d7b327688a61b940ee354ee35,pmc-lic-12
191e225c-bee9-409a-af92-f1e2d3510c82,license,9b614e4d-b2e7-4a64-b310-d19bb67e2830,f5f393a2-6b45-4036-be9a-7b6b09984256,9b614e4d-b2e7-4a64-b310-d19bb67e2830,pmc-trd-2026-000003_site_photo_note_03.txt,text/plain,142,6d658285f56ecaacd18204896219a671b9b4a0df52624a2363a02275dcd716bd,pmc-lic-12
7eb9c5a0-72f3-4c1e-bb54-6db6f3b7059b,license,dcf4030a-8dbd-43b0-80dd-5adb276a8d58,014923f2-9008-4569-85ca-b3127546adc0,dcf4030a-8dbd-43b0-80dd-5adb276a8d58,bmc-fir-2026-000004_application_note_01.txt,text/plain,128,37c50d88a6346bdc58d1fe7d6aae3f74c6933b4571d7bef99e3fda80636457ec,bmc-lic-12
325f8b2c-94f7-4aea-b33a-78e44699176d,license,05b59cd0-c1b3-44b4-bac9-b0696b565385,c1a9d372-ea4d-415c-947f-720197d27682,05b59cd0-c1b3-44b4-bac9-b0696b565385,pmc-trd-2026-000005_application_note_01.txt,text/plain,128,5320bd549544114cf33f8a54401764f48fedf0d71b7db433d6746b6b256f3412,pmc-lic-02
54f590d5-343d-473b-9741-3c9e99b33319,license,05b59cd0-c1b3-44b4-bac9-b0696b565385,c1a9d372-ea4d-415c-947f-720197d27682,05b59cd0-c1b3-44b4-bac9-b0696b565385,pmc-trd-2026-000005_ownership_note_02.txt,text/plain,126,bb52e03e619758b0626dd008b8bf276e5c799b06a7a364472408bcbd0d204758,pmc-lic-02
e55c3d31-e4a3-4613-86eb-61d3fc283596,license,3b9ac099-d8bc-4463-8356-4c1ac4440533,0f073cf5-28c0-4343-af6a-16609c9a7a16,3b9ac099-d8bc-4463-8356-4c1ac4440533,pmc-est-2026-000006_application_note_01.txt,text/plain,133,bd85f81b034221e5832467ecc7afde83895070996d649942ad8af03e45b02ee6,pmc-lic-11
34485bd9-9f07-45d5-9d4f-f5b51bb9cd2b,license,3b9ac099-d8bc-4463-8356-4c1ac4440533,0f073cf5-28c0-4343-af6a-16609c9a7a16,3b9ac099-d8bc-4463-8356-4c1ac4440533,pmc-est-2026-000006_ownership_note_02.txt,text/plain,131,5e52c7ba95b10631337dedddc6befa95ee040164d5d35e2b92449206eac0e430,pmc-lic-11
8adac2a5-5179-402d-be3b-ee6f5c31d322,license,3b9ac099-d8bc-4463-8356-4c1ac4440533,0f073cf5-28c0-4343-af6a-16609c9a7a16,3b9ac099-d8bc-4463-8356-4c1ac4440533,pmc-est-2026-000006_site_photo_note_03.txt,text/plain,132,9b3db30ecc2ef98cf077f07714f131c39131fc37676ee758f6545a1bceb259cf,pmc-lic-11
8189327e-2486-4a3f-bbca-0781b94905db,license,e2ef1369-4fa8-492d-b7a4-0325c72fb74d,95653e3c-c3da-4e75-82cf-e186f6430515,e2ef1369-4fa8-492d-b7a4-0325c72fb74d,bmc-sto-2026-000007_application_note_01.txt,text/plain,131,f7b93276764ea0e7911c8b5a35781c1fd13e458f9032d1a055a7afad8dcf1b71,bmc-lic-09
bf2155ae-6635-4870-bcff-b760ff579221,license,e2ef1369-4fa8-492d-b7a4-0325c72fb74d,95653e3c-c3da-4e75-82cf-e186f6430515,e2ef1369-4fa8-492d-b7a4-0325c72fb74d,bmc-sto-2026-000007_ownership_note_02.txt,text/plain,129,1a4fbdc408b8b95a97800aa063bfe5b0b7e001cc71a89e49b0c05e3cc4dcd079,bmc-lic-09
3844c9af-5b60-4da3-b1ab-9fdba9d6d1c5,license,e2ef1369-4fa8-492d-b7a4-0325c72fb74d,95653e3c-c3da-4e75-82cf-e186f6430515,e2ef1369-4fa8-492d-b7a4-0325c72fb74d,bmc-sto-2026-000007_site_photo_note_03.txt,text/plain,130,0f4ac469179448db38d9b82607f71061168a1f641d369aa1fb4955164e910694,bmc-lic-09
a32f54e4-1531-4343-a185-aabf7fdadb6b,license,a75d6db0-9080-482d-8626-138e38606043,e895cb6e-c379-47f4-9195-bf51995573c0,a75d6db0-9080-482d-8626-138e38606043,pmc-trd-2026-000008_application_note_01.txt,text/plain,133,8d2e8aa3634c63b18dbb2f19bd0836ddd0ba871c54bac89d17d574a57ce21067,pmc-lic-06
d5f475d0-948b-4beb-bbd6-7666b23a451f,license,ad57a4ef-b571-48ad-9072-b1101f968b68,b149515a-bbcb-48e9-b626-aa51767516cb,ad57a4ef-b571-48ad-9072-b1101f968b68,pmc-fir-2026-000009_application_note_01.txt,text/plain,137,7e5e06c8f52fe8a8828ba1a880970eb1799cdbde81534d1ed05407beeb62e2ad,pmc-lic-06
faa03e9a-7c5a-489f-b661-1ed6837cafc2,license,ad57a4ef-b571-48ad-9072-b1101f968b68,b149515a-bbcb-48e9-b626-aa51767516cb,ad57a4ef-b571-48ad-9072-b1101f968b68,pmc-fir-2026-000009_ownership_note_02.txt,text/plain,135,d58958276c833abfbbb08de0168f5de8b6d17fe80a13e65e4c29747e1b3ddb0a,pmc-lic-06
