payment_id,license_id,application_number,fee_amount_inr,payment_status,payment_channel,receipt_number
6979a3f3-4c55-4232-93b6-007eb26a51bf,3b0d8f66-ad2b-4fbe-a319-984cdf15b6ae,PMC-FIR-2026-000001,17600,paid,online_pg,RCPT-000001
61328028-873c-429e-a7c3-8f3fdf9eed9e,8a370147-2719-46a0-9061-e48eb8c19c0e,BMC-TRD-2026-000002,11700,paid,online_pg,RCPT-000002
1a7ad775-9031-42ca-9e94-d9e1b55e3a51,9b614e4d-b2e7-4a64-b310-d19bb67e2830,PMC-TRD-2026-000003,4200,waived,bank_counter,RCPT-000003
13cc5d0b-3ffb-453f-9446-8bdcfee19553,dcf4030a-8dbd-43b0-80dd-5adb276a8d58,BMC-FIR-2026-000004,22800,paid,online_pg,RCPT-000004
38b4ef70-8e2f-42c8-bf40-06647535902c,05b59cd0-c1b3-44b4-bac9-b0696b565385,PMC-TRD-2026-000005,5000,paid,online_pg,RCPT-000005
bff5e608-9a36-45ad-b2c5-d4fd05550f73,3b9ac099-d8bc-4463-8356-4c1ac4440533,PMC-EST-2026-000006,5900,paid,cash_counter,RCPT-000006
904cedca-e62a-4767-947a-e673c32e476a,e2ef1369-4fa8-492d-b7a4-0325c72fb74d,BMC-STO-2026-000007,10600,paid,cash_counter,RCPT-000007
363129cb-ad4f-4666-8c4d-dd24054e7cdc,a75d6db0-9080-482d-8626-138e38606043,PMC-TRD-2026-000008,2800,paid,bank_counter,RCPT-000008
5c7c1bb5-27f0-4091-82da-5ac88613fe5a,ad57a4ef-b571-48ad-9072-b1101f968b68,PMC-FIR-2026-000009,3900,paid,bank_counter,RCPT-000009
e2166f0c-462c-415b-b55e-399d0268714e,5ecab31e-af98-4d34-8bd6-ca6a0ba7ffff,BMC-EST-2026-000010,22300,waived,online_pg,RCPT-000010
e8d9ce5a-d5ac-4a45-9569-2e93ad70ab36,c0b3d470-08be-4a0c-a4dd-916c07c3f384,BMC-BPA-2026-000011,53300,paid,online_pg,RCPT-000011
467755a6-e0c1-40ca-a4fe-8fc19dcbb632,02d1cdba-559f-42b8-824f-f338a0e69804,BMC-OCC-2026-000012,22800,paid,online_pg,RCPT-000012
691a0fee-90d2-4c4e-a3ba-0ddddc641a3b,94b41417-6190-4aa1-9508-b1943e038f2b,PMC-TRD-2026-000013,6700,paid,cash_counter,RCPT-000013
69bd06aa-1361-4e83-a863-1e17e7986192,05b9885f-37fb-408d-9102-831fee990979,BMC-EST-2026-000014,23700,waived,online_pg,RCPT-000014
8ce368e3-6f51-4dd6-ad3a-0868d23ab12d,c4a081da-8d45-47a0-8bfb-cac219fe0cec,BMC-OCC-2026-000015,92200,paid,online_pg,RCPT-000015
2c52169d-adc9-452e-8f9b-b2580ba6e8e2,8020168d-87de-442b-bae5-958cd019d7be,BMC-HLT-2026-000016,6300,pending,online_pg,RCPT-000016
a5524b13-5352-4fb3-bb85-9e915adf550b,20bb1d9e-eacb-4cc5-9f41-160193a435d5,BMC-OCC-2026-000017,153100,paid,cash_counter,RCPT-000017
c9d063f9-ca9d-4fa4-b4ed-8ab8c2f6c853,b78bf299-f4fa-4d1f-ac10-d3283ceae546,BMC-FIR-2026-000018,13400,pending,online_pg,RCPT-000018
4dc6174e-f03c-4ce4-8b3f-9531f3542ac5,e5ff2813-dd23-4dff-9f78-ae95702791dd,PMC-OCC-2026-000019,55400,paid,online_pg,RCPT-000019
8cab20b6-4bf3-4c3f-9af2-669a0d5a6331,e57d2f7c-9c37-4102-bfb3-9d471201f4d0,BMC-TRD-2026-000020,13700,paid,online_pg,RCPT-000020
1b652301-7c57-4330-8dd7-f0aa76bb2b41,a3ea02e7-9232-4457-8c4c-5795317c5fff,PMC-TRD-2026-000021,4200,paid,bank_counter,RCPT-000021
85dbe50a-f1ba-47e1-a2de-f8cd7ada86a6,e0a6ec18-d6ba-4d86-a0f6-85febd1ce72f,PMC-TRD-2026-000022,6500,pending,cash_counter,RCPT-000022
5a7d6e2a-c16f-475a-9c4d-d3ede6cd05e0,7cdc186e-11c4-4409-ad29-cc67ec034726,BMC-SBD-2026-000023,6900,pending,online_pg,RCPT-000023
e2df1b95-3725-48c9-a2e6-6dcd205c08d4,0b2e1a3f-fb97-428c-bc70-ce5f64885b59,BMC-TRD-2026-000024,17700,paid,online_pg,RCPT-000024
a697c7cd-07a8-4dd2-b554-f409b9c07742,90f2da7f-478d-4b4e-8126-dd3f5a7386cb,PMC-HLT-2026-000025,3700,paid,online_pg,RCPT-000025
97b41166-738f-49d3-a746-bb77c02d86ef,a259194e-547e-4f1e-be68-1ec606e4b8e4,BMC-STO-2026-000026,17000,pending,online_pg,RCPT-000026
ba8d8945-b811-4ec2-b2fa-0133ec6b6593,97b8a65d-e9de-46fe-99e7-0dcddbf8c52b,BMC-TRD-2026-000027,4600,pending,bank_counter,RCPT-000027
e3fb653b-1cbd-4127-a9d5-d9e1b788d6de,c41bae06-2fae-4786-b6e2-226478f66ce2,PMC-OCC-2026-000028,53900,paid,bank_counter,RCPT-000028
4bb6a4b8-4d3a-43f4-a5d1-0828e8ac669c,676ccb33-d077-4734-9fdd-9aba97e27b98,PMC-OCC-2026-000029,27800,pending,cash_counter,RCPT-000029
4c8960e3-e0c8-4808-a5c7-c532ae758013,5f06dc3f-5296-4c84-9e6c-b0364f61c4a9,BMC-STO-2026-000030,22100,paid,online_pg,RCPT-000030
70a2f9b7-ccb5-4a3d-b6b2-7532b571b6a4,31dfb91a-4040-46e5-9ffa-4ac5ae2f0d99,BMC-HLT-2026-000031,24000,pending,online_pg,RCPT-000031
29d9e837-a7ff-4350-8ee2-59a617724ca8,8d347dae-b69f-4991-930e-6caf28a6c902,BMC-HLT-2026-000032,16200,paid,online_pg,RCPT-000032
d4f85f80-442b-4f35-bfcd-b6734a472d8b,28ac8a10-0902-4138-ab8c-904de344cb95,PMC-TRD-2026-000033,7700,paid,bank_counter,RCPT-000033
e1c057d7-9822-46dc-acbc-bc273df086ad,863c7a8f-9e62-409b-9c8d-4fbd4223a3c8,PMC-HLT-2026-000034,16700,pending,bank_counter,RCPT-000034
ef773125-8672-40dd-8f44-246c8cb99dee,5cae8f06-976c-44f7-9e1a-f7b1454720ba,BMC-TRD-2026-000035,6600,pending,bank_counter,RCPT-000035
d994ca8a-0c58-4c98-8a4b-37c5aed15af1,1349961d-650a-41d1-8f73-0a3c66712b79,PMC-TRD-2026-000036,13600,pending,online_pg,RCPT-000036
add3dc87-607a-429d-928c-f246c07bab3b,2997ec42-7998-422b-8888-39a34204443f,PMC-STO-2026-000037,4400,pending,bank_counter,RCPT-000037
9b54647c-214e-4f05-b606-6177f39951cd,e62b0af8-90ce-49ba-96e7-b4c5412a6ce0,PMC-OCC-2026-000038,45100,paid,online_pg,RCPT-000038
9838777b-8cce-4270-8218-668ef12180f3,7abe5a91-a312-40b1-861a-d4b5c21bff84,BMC-FIR-2026-000039,4900,paid,online_pg,RCPT-000039
e5e30342-6587-4b10-b287-c2414a689803,5cc6f2dd-b207-4df1-bfca-5c481b500fa3,PMC-BPA-2026-000040,38400,paid,bank_counter,RCPT-000040
43c2ea0d-68dc-444c-9d3d-c62389554486,190c59c0-4f34-4886-b37b-1d9767df691c,PMC-TRD-2026-000041,11000,paid,online_pg,RCPT-000041
320349aa-0649-418a-853a-28b06bfd54f5,3adf5e2c-1814-4cba-9f31-2d9ea4085456,PMC-OCC-2026-000042,18900,paid,cash_counter,RCPT-000042
7b011369-b640-42a6-a976-017b497112c4,65f2e5cf-0bfe-48f0-a656-6250d9e17cb0,BMC-HLT-2026-000043,4400,pending,cash_counter,RCPT-000043
fc7cc251-bcce-464c-ba31-ad50c180b872,7153948a-6b32-4538-83a8-63a4ecb72c4d,BMC-TRD-2026-000044,17600,pending,online_pg,RCPT-000044
e2bc50d2-68a0-4109-a266-da8e1e5587e6,1252ead9-5354-4c86-b9d4-1c4678653e53,PMC-TRD-2026-000045,10300,paid,bank_counter,RCPT-000045
ee0166a6-cb02-49b0-bd5f-8651f90c763c,e3d1dbb7-7b09-46e3-92b7-121ee518931f,PMC-TRD-2026-000046,14500,pending,cash_counter,RCPT-000046
cd77528c-b67c-4653-b8a3-4fa42f0d3c5a,5dffff92-5b31-4c07-a825-315f7e16d7bd,PMC-FIR-2026-000047,12000,paid,bank_counter,RCPT-000047
d9962b2f-e5af-4da5-ad13-33c5e34a1790,aa9ed55d-3375-4497-a336-7c82dc172992,BMC-SBD-2026-000048,25100,paid,online_pg,RCPT-000048
934b9ce5-1d86-4f89-a1bd-4c0584a59fb9,ee2438c9-5659-4fa6-b67e-f48ea833da69,PMC-OCC-2026-000049,15900,paid,online_pg,RCPT-000049
207efa6c-283e-4461-b381-ca557b6146a5,8f696ba6-a12e-4ba2-ae16-ad470dec8401,PMC-STO-2026-000050,7500,paid,cash_counter,RCPT-000050
09e3ab34-f064-48c1-841e-cafc65ceb60d,b5fa9341-bbc3-40ca-b257-f30a08946788,PMC-TRD-2026-000051,4400,paid,online_pg,RCPT-000051
14978386-d3fd-4c99-b828-bf8cac423dd2,4530b94b-c9e8-416f-827b-cddb3bf1f216,PMC-SBD-2026-000052,5500,paid,online_pg,RCPT-000052
5c3aeb50-26d7-4eb7-bd73-c26bbc9d6d31,5c71a9cb-1d96-498e-85f0-328c264ec918,BMC-BPA-2026-000053,191200,paid,online_pg,RCPT-000053
67f76fe9-c143-46a9-9898-e97f360ed3f6,8412d15a-3bfa-4fb9-95f7-930544c113a5,PMC-TRD-2026-000054,10800,waived,cash_counter,RCPT-000054
69ae84f1-50fb-4bc1-87ff-fc2c8a6d3b6c,0546b23d-1e5d-4107-a6c1-6c43ad39620d,PMC-BPA-2026-000055,17700,paid,bank_counter,RCPT-000055
7a1ae1f4-618c-45b8-b608-e8a6090ff714,6d79b437-a756-4e66-ae9c-2c4212a6177c,PMC-BPA-2026-000056,82100,waived,online_pg,RCPT-000056
0078f847-1e42-44cd-aed3-ca107bc37c0a,73014819-db6e-46f6-aad5-1aa1a41dc910,PMC-HLT-2026-000057,16200,pending,cash_counter,RCPT-000057
1eed43fe-6c7f-44d2-81bb-ee409f1e404a,863e3bda-1e56-43d3-9be5-fb9a934261b5,PMC-OCC-2026-000058,94300,pending,bank_counter,RCPT-000058
1da1c59e-c374-4e7a-9263-e1efe083d6a0,8100f0d2-c8ec-4086-9d5a-3028f6dea498,PMC-BPA-2026-000059,138800,paid,online_pg,RCPT-000059
cd74f267-c83a-48ce-902d-b1982d40893d,36f17e63-abef-4f5b-821e-d7a5eea8af78,BMC-OCC-2026-000060,123700,paid,online_pg,RCPT-000060
55ff97ce-f680-4e61-a37b-5adf96ebc56c,4e1dcf0d-0600-4579-899c-14f7201502e7,PMC-EST-2026-000061,14600,pending,online_pg,RCPT-000061
a591564e-678d-4181-9d7a-0feec0c17d5c,f15123da-2778-45fc-a10a-a9cee7fcecc5,PMC-BPA-2026-000062,156700,pending,online_pg,RCPT-000062
93d901f2-64cf-4a40-ab9a-1ce4cba750d1,4f61728a-208f-4638-8bea-2039b5942d24,PMC-TRD-2026-000063,11400,paid,online_pg,RCPT-000063
360e0e35-22cf-4c99-878b-e7efef5560c9,8a983b54-00d4-437c-be80-e12643bc0176,BMC-SBD-2026-000064,8900,paid,online_pg,RCPT-000064
3ada66d0-3790-43cf-812b-0a7c692fe42c,1e98c995-ff69-4fa5-bddd-cf057402ba5f,PMC-OCC-2026-000065,17800,paid,cash_counter,RCPT-000065
8667df04-2831-4f5c-9446-089bb900ecd0,a6dc0761-eddc-4f06-acf6-c31a380f42da,BMC-BPA-2026-000066,342400,paid,online_pg,RCPT-000066
9aafbcca-3455-4283-8ae7-f957e9c144b9,d7734546-4f3e-4ba0-b2be-665dddcfb90a,BMC-EST-2026-000067,28900,paid,online_pg,RCPT-000067
5e6b91ba-3514-42a4-b326-a17a8dea3669,02a8b503-12b6-49d5-8d48-b85d76931fb6,BMC-FIR-2026-000068,24900,paid,online_pg,RCPT-000068
a7fc2c50-c6f6-4b16-889c-33c1f76bc4ca,b35b6c74-2b10-45d7-9af0-371f46af13fd,PMC-TRD-2026-000069,10100,paid,online_pg,RCPT-000069
54df7e6b-1194-4703-bed7-b293e96f858e,778830f3-f0b6-465f-b27d-bd818e143750,BMC-BPA-2026-000070,240700,paid,online_pg,RCPT-000070
1138ab6b-d9cf-4278-b10d-64bb0bac213f,a0b6b078-74f4-485c-9863-6714aaeb9b76,PMC-BPA-2026-000071,128400,paid,online_pg,RCPT-000071
